10008;10009;307;3763
10007;10009;525;1086
10013;10015;1391;3574
10019;10022;253;2153
10009;10012;952;1650
10002;10004;4333;4020
10010;10011;3831;1696
10012;10013;683;1464
10005;10006;3469;456
10013;10014;4711;1177
10022;10024;3623;1898
10023;10026;4671;4098
10027;10029;4451;3816
10032;10035;2016;3813
10022;10030;4751;2559
10032;10040;473;717
10025;10034;4491;1772
10022;10032;3212;4942
10025;10036;1823;1152
10035;10046;3058;2575
10036;10048;2885;4512
10041;10052;2970;1431
10037;10049;1044;2752
10041;10052;2833;274
10038;10048;2153;2808
10036;10046;4644;2003
10036;10047;1284;1662
10027;10039;3067;121
10023;10035;2437;2112
10022;10033;691;4859
10021;10031;1564;4005
10019;10029;3240;3694
10025;10035;2045;2469
10027;10031;2619;101
10022;10025;2358;4767
10014;10017;4439;832
10035;10040;4162;2414
10029;10034;2393;2004
10027;10032;3736;4406
10027;10032;220;3401
10027;10032;448;2702
10036;10040;1687;3427
10041;10044;4148;3696
10036;10040;3507;2753
10031;10035;3277;800
10024;10028;4970;4752
10031;10035;2821;3662
10037;10040;4331;273
10046;10049;2882;966
10050;10053;2189;2385
10056;10059;3438;3907
10047;10050;4380;2805
10039;10042;4301;151
10041;10043;3602;3700
10037;10038;883;3134
10035;10036;4764;686
10040;10041;4365;1761
10042;10043;1595;2129
10052;10054;2685;1892
10047;10050;188;2527
10039;10043;4173;882
10036;10041;366;1932
10045;10051;801;3423
10045;10052;3585;589
10038;10045;1832;2150
10043;10051;1448;1444
10044;10051;2810;2097
10037;10045;4908;3167
10041;10049;4344;1492
10048;10056;3425;571
10058;10066;4410;4611
10048;10056;1569;725
10054;10062;2491;1385
10058;10065;121;1026
10056;10062;1164;575
10066;10073;3897;1269
10071;10077;214;3156
10072;10077;2655;4510
10081;10087;561;2865
10082;10088;1207;1464
10085;10091;1676;2498
10075;10080;2435;2504
10070;10074;4399;1916
10069;10074;3119;4525
10074;10080;1251;1317
10075;10082;2086;3290
10078;10085;1645;4516
10075;10082;268;1968
10075;10081;1472;1442
10072;10078;1882;4915
10072;10079;898;4071
10079;10087;4928;3083
10078;10086;3642;2890
10078;10086;1832;1063
10074;10083;1247;1847
10070;10078;2173;1086
10064;10072;1674;622
10054;10062;4526;217
10048;10055;635;2134
10051;10057;1264;356
10060;10066;2272;4661
10060;10066;3287;1897
10053;10059;3761;2523
10059;10064;3496;4533
10061;10066;408;283
10058;10062;1804;557
10061;10064;1506;3778
10060;10062;4894;2260
10065;10068;1934;1618
10068;10072;2934;4295
10068;10071;1654;1380
10074;10078;136;614
10077;10082;4721;4689
10083;10089;1809;2136
10083;10088;3306;334
10088;10093;4336;3172
10088;10093;4265;1727
10081;10085;485;398
10087;10092;3837;2118
10089;10093;4026;559
10092;10097;3636;2862
10083;10089;486;2340
10079;10085;2514;1680
10081;10088;1259;1368
10081;10089;3603;2530
10089;10098;4116;1525
10095;10104;4810;518
10090;10100;2429;2298
10099;10110;1861;4368
10093;10105;1568;1976
10100;10113;3743;4570
10091;10104;1810;4957
10091;10103;2572;934
10099;10110;914;459
10093;10105;2733;2055
10098;10110;1001;3146
10102;10113;2968;1820
10109;10121;3989;2017
10118;10131;1113;317
10109;10123;3901;2529
10116;10129;482;4006
10119;10133;1741;1252
10124;10138;2050;3965
10133;10148;1749;2376
10128;10144;3172;419
10123;10140;3627;2830
10129;10147;2121;2339
10135;10153;4005;4590
10139;10156;4039;2068
10143;10161;3340;2443
10136;10154;4920;1827
10141;10160;2570;4269
10139;10157;2391;1099
10147;10164;3836;1241
10145;10161;3628;4532
10143;10160;4414;4573
10140;10158;1715;4296
10130;10149;3417;1693
10140;10159;4464;1940
10144;10162;3434;3919
10144;10161;4864;5000
10153;10169;3112;3931
10145;10162;4600;2897
10141;10159;4279;2582
10014;10018;4782;1596
10022;10027;2464;2728
10015;10021;2624;1472
10019;10025;4680;3967
10022;10029;3985;2479
10016;10025;2230;3841
10018;10026;3567;1717
10028;10035;3886;1470
10023;10029;2036;1499
10017;10023;3853;3893
10017;10022;4746;1501
10009;10013;2642;1238
10006;10010;1936;2976
10009;10013;4566;1802
10013;10016;2924;577
10004;10008;2261;3149
10003;10006;4876;4937
9994;9996;1092;3924
9993;9995;3057;1166
10001;10002;4289;1063
10011;10013;3030;4065
10015;10017;418;3393
10005;10008;384;3520
10015;10018;346;2203
10021;10025;2795;4030
10031;10034;4994;4793
10021;10024;2180;4043
10031;10033;1409;532
10039;10042;1291;1544
10031;10035;4641;4699
10041;10045;4755;4675
10042;10046;518;4336
10050;10055;4079;4110
10047;10052;2998;1760
10050;10055;3223;4847
10045;10051;3846;2367
